datetime,open,high,low,close,volume
2026-05-01 09:30:00,440.00,442.50,439.50,441.20,150000
2026-05-01 09:35:00,441.20,443.10,440.80,442.00,180000
2026-05-01 09:40:00,442.00,444.00,441.50,443.50,220000
2026-05-01 09:45:00,443.50,445.20,443.00,444.80,250000
2026-05-01 09:50:00,444.80,446.50,444.20,445.50,280000
2026-05-01 09:55:00,445.50,447.00,445.00,446.20,200000
2026-05-01 10:00:00,446.20,448.00,445.80,447.80,300000
2026-05-01 10:05:00,447.80,449.50,447.50,448.90,350000
2026-05-01 10:10:00,448.90,451.00,448.50,450.20,400000
2026-05-01 10:15:00,450.20,452.00,449.80,451.50,320000
2026-05-01 10:20:00,451.50,453.20,451.00,452.80,290000
2026-05-01 10:25:00,452.80,454.50,452.50,454.00,380000
2026-05-01 10:30:00,454.00,456.00,453.50,455.50,420000
2026-05-01 10:35:00,455.50,457.20,455.00,456.80,350000
2026-05-01 10:40:00,456.80,458.50,456.50,458.00,310000
2026-05-01 10:45:00,458.00,459.00,457.50,458.20,270000
2026-05-01 10:50:00,458.20,460.50,458.00,459.80,420000
2026-05-01 10:55:00,459.80,461.20,459.20,460.50,380000
2026-05-01 11:00:00,460.50,462.00,460.00,461.20,340000
